item_code,item_name,decision,correct_product_name,correct_product_name_ar
79627,MECLIZIGO 20 FILM,approved_match,MECLIZIGO 25 MG 20 ORODISPERSIBLE FILMS,ميكليزيجو 25 مجم 20 فيلم
46584,MEGAFEN 200MG 20 TAB,auto_matched,MEGAFEN 20 TABS,ميجافين 20 اقراص
74888,MEGAMOX 625 MG 14 TAB,auto_matched,MEGAMOX 625 MG 14 F.C. TABS.,ميجاموكس 625 مجم 14 اقراص
83661,MEGAMOX ES 642MG SYRUP,approved_match,MEGAMOX ES 642.9 MG SUSP. 100 ML,ميجاموكس اي اس 642.9 مجم شراب 100 مل
82905,MEGAPRAZOLE 40MG I.V VIAL,auto_matched,MEGAPRAZOLE 40 MG VIAL,ميجابرازول 40 مجم امبول وريد
86512,MELACRYST 1.5 MG 20 FILMS,auto_matched,MELACRYST 1.5 MG 20 ORO DISPERSIBLE FILMS,ميلاكريست 1.5 مجم 20 فيلم
80978,MELACRYST 3 MG 20 ORO-DISPERSIBLE FILMS,auto_matched,MELACRYST 3 MG 20 ORO DISPERSIBLE FILMS,ميلاكريست 3 مجم 20 فيلم
25,MELADODO 3 MG 30 TABLETS,auto_matched,MELADODO 3 MG 30 TABLETS,ميلادودو 3 مجم 30 اقراص
84957,MELANTHENOL CREAM 40GM,auto_matched,MELANTHENOL CREAM 40 GM,ميلانثينول كريم 40 جم
84805,MELATONIN COPAD 30 TAB,auto_matched,MELATONIN COPAD 30 TAB,ميلاتونين كوباد 30 اقراص
62113,MELOCAM 15 MG 30 TAB,auto_matched,MELOCAM 15 MG 30 TAB.,ميلوكام 15 30 اقراص
90619,MEMOCITO plus cap,auto_matched,MEMOCITO PLUS 30 CAP,ميموسيتو بلس 30 كبسول
92677,MEMONDO 150 ML SYRUP,auto_matched,MEMONDO SYRUP 150 ML,ميموندو شراب 150 مل
92686,MEMOPURA 120 ML SYRUP,auto_matched,MEMOPURA 120 ML SYRUP,ميمو بيورا شراب 120 مل
91465,MENOPACE 30 TAB,auto_matched,MENOPACE 30 TAB,مينوبيس اوريجينال 30 اقراص
75875,MEPACO GREEN TEA 20 TABS,approved_match,MEPACO GREEN TEA 20 TABLETS,ميباكو جرين تي 20 اقراص
89661,MERALGO 20 CAPS,auto_matched,MERALGO 20 CAPS,ميرالجو 20 اقراص
89115,MERCAVA 30 SAC,auto_matched,MERCAVA 30 SACHET,ميركافا 30 اكياس
92092,MERCAVA SACHET,auto_matched,MERCAVA 30 SACHET,ميركافا 30 اكياس
