product_name_ar,product_name_en,store_product_id,product_id,sale_price
╪º╪¿┘è╪¼┘ê┘å╪º┘ä 75 ┘ê╪¡╪»┘ç 1 ╪º┘à╪¿┘ê┘ä,EPIGONAL 75 I.U. 1 AMP.,2434920.0,5255.0,321.0
╪º╪¿┘è╪»╪▒╪º 100 ┘ê╪¡╪»┘ç / ┘à┘ä 5 ╪«╪▒╪╖┘ê╪┤╪º╪¬,APIDRA 100 I.U. / ML 5 CARTIRIDGES,2287864.0,1079.0,855.0
╪º╪¿┘è╪»╪▒╪º ╪│┘ê┘ä┘ê╪│╪¬╪º╪▒ 100 ┘ê╪¡╪»┘ç / ┘à┘ä 1 ┘é┘ä┘à,APIDRA SOLOSTAR 100 I.U. / ML 1 PREFILLED PEN,2225119.0,72170.0,190.4
╪º╪¿┘è╪»╪▒╪º ╪│┘ê┘ä┘ê╪│╪¬╪º╪▒ 100 ┘ê╪¡╪»┘ç / ┘à┘ä 5 ┘é┘ä┘à,APIDRA SOLOSTAR 100 I.U. / ML 5 PREFILLED PEN,2434921.0,1080.0,952.0
╪º╪¿┘è╪»┘â╪│┘ê┘å 0.05 % ┘à╪▒┘ç┘à 5 ╪¼┘à,EPIDEXONE 0.05 % EYE OINT. 5 GM,2628698.0,5236.0,13.0
╪º╪¿┘è╪»┘â╪│┘ê┘å 1 ┘à╪¼┘à / ┘à┘ä ┘é╪╖╪▒┘ç 5 ┘à┘ä,EPIDEXONE 1 MG / ML EYE / EAR DROPS 5 ML,1838274.0,5237.0,13.0
╪º╪¿┘è╪»┘â╪│┘ê┘å ╪¿┘ä╪│ 1 ┘à╪¼┘à / ┘à┘ä ┘é╪╖╪▒┘ç 5 ┘à┘ä,EPIDEXONE PLUS 1 MG / ML EYE / EAR DROPS 5 ML,1671069.0,82757.0,20.0
╪º╪¿┘è╪»┘ê┘å ╪┤╪▒╪º╪¿ 125 ┘à┘ä,APIDONE SYRUP 125 ML,2142553.0,1078.0,24.0
╪º╪¿┘è╪»┘è╪▒┘à ┘â╪▒┘è┘à 50 ╪¼┘à,EPIDERM SOOTHING CREAM 50 GM,2145364.0,5235.0,70.0
╪º╪¿┘è╪▒╪º╪▓┘ê┘ä 20 ┘à╪¼┘à 14 ┘â╪¿╪│┘ê┘ä,EPIRAZOLE 20 MG 14 CAPS.,2452821.0,5283.0,44.0
╪º╪¿┘è╪▒╪º╪▓┘ê┘ä 40 ┘à╪¼┘à 10 ┘â╪¿╪│┘ê┘ä,EPIRAZOLE 40 MG 10 CAPS,2638681.0,126017.0,41.5
╪º╪¿┘è╪▒┘ä┘è┘ü╪º┘å 40 ┘à╪¼┘à / ┘à┘ä ╪º┘à╪¿┘ê┘ä,EPIRELEFAN 40 MG / ML I.M AMP.,2506936.0,5284.0,38.0
╪º╪¿┘è╪▒┘ê┘ü╪º╪│╪¬┘è┘å 10 ┘à╪¼┘à 14 ╪º┘é╪▒╪º╪╡,EPIROVASTIN 10 MG 14 SCORED F.C. TAB,2434911.0,81590.0,56.0
╪º╪¿┘è╪▒┘ê┘ü╪º╪│╪¬┘è┘å 10 ┘à╪¼┘à 7 ╪º┘é╪▒╪º╪╡,EPIROVASTIN 10 MG 7 SCORED F.C. TAB,2627643.0,5287.0,21.0
╪º╪¿┘è╪▒┘ê┘ü╪º╪│╪¬┘è┘å 20 ┘à╪¼┘à 14 ╪º┘é╪▒╪º╪╡,EPIROVASTIN 20 MG 14 TABS,1545709.0,80584.0,57.0
╪º╪¿┘è╪▒┘ê┘ü╪º╪│╪¬┘è┘å 20 ┘à╪¼┘à 7 ╪º┘é╪▒╪º╪╡,EPIROVASTIN 20 MG 7 F.C. TAB,2487280.0,5288.0,28.5
╪º╪¿┘è╪▒┘è╪▓┘è┘å 10 ┘à╪¼┘à 10 ╪º┘é╪▒╪º╪╡,EPIRIZINE 10 MG 10 TAB.,1555218.0,5285.0,15.5
╪º╪¿┘è╪▒┘è╪▓┘è┘å 5 ┘à╪¼┘à / ┘à┘ä ╪┤╪▒╪º╪¿ 60 ┘à┘ä,EPIRIZINE 5 MG / ML SYRUP 60 ML,2191727.0,5286.0,10.5
╪º╪¿┘è╪▓┘è╪½╪▒┘ê 200 ┘à╪¼┘à / 5 ┘à┘ä 15 ┘à┘ä ╪┤╪▒╪º╪¿,EPIZITHRO 200 MG / 5 ML 15 ML SUSP,2265899.0,5307.0,47.0
╪º╪¿┘è╪▓┘è╪½╪▒┘ê 200 ┘à╪¼┘à / 5 ┘à┘ä 30 ┘à┘ä ╪┤╪▒╪º╪¿,EPIZITHRO 200 MG / 5 ML 30 ML SUSP,1121165.0,5308.0,68.0
╪º╪¿┘è╪▓┘è╪½╪▒┘ê 500 ┘à╪¼┘à 3 ┘â╪¿╪│┘ê┘ä,EPIZITHRO 500 MG 3 CAPS,2401797.0,5309.0,62.0
